Nutrient1,Nutrient2,Value
"Fatty acids, total polyunsaturated 18:1 t (g)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.8633514727701588
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",0.8594240665500765
"Fatty acids, total saturated 14:0 (g)","Fatty acids, total saturated (g)",0.8574338141192709
"Phosphorus, P (mg)","Zinc, Zn (mg)",0.8536719343695688
Total lipid (fat) (g),Energy (kJ),0.8532579417549973
Energy (kcal),Total lipid (fat) (g),0.8532507309266383
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.8444278848000215
Vitamin B-6 (mg),"Phosphorus, P (mg)",0.8442978910659792
"Choline, total (mg)",Protein (g),0.8439325270966942
"Fatty acids, total saturated 16:0 (g)","Fatty acids, total saturated (g)",0.8421229732714569
"Fatty acids, total saturated (g)","Fatty acids, total saturated 18:0 (g)",0.8407911533685651
"Phosphorus, P (mg)","Iron, Fe (mg)",0.8402190082445757
"Fatty acids, total polyunsaturated 24:0 (g)","Fatty acids, total saturated 22:0 (g)",0.8390020246451211
"Fatty acids, total saturated 16:1 undifferentiated (g)","Fatty acids, total monounsaturated (g)",0.8387269892391637
"Fatty acids, total polyunsaturated 18:1 c (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.8379528304511873
Riboflavin (mg),Pantothenic acid (mg),0.8377787902338003
"Iron, Fe (mg)","Magnesium, Mg (mg)",0.8373584013336061
"Tocopherol, delta (mg)","Tocopherol, gamma (mg)",0.8351233991256231
"Folate, food (g)","Manganese, Mn (mg)",0.8335123913759926
"Folate, total (g)","Manganese, Mn (mg)",0.827902437620061
"Choline, total (mg)","Phosphorus, P (mg)",0.8271967653096264
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total trans-polyenoic 22:4 (g)",0.8212309487533108
Niacin (mg),"Phosphorus, P (mg)",0.8206415034890439
"Folate, DFE (g)","Manganese, Mn (mg)",0.8198292146056592
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",0.8197927235975553
"Zinc, Zn (mg)",Vitamin B-6 (mg),0.8180165376301782
Total lipid (fat) (g),"Fatty acids, total saturated 16:1 undifferentiated (g)",0.8158260216134522
"Zinc, Zn (mg)",Niacin (mg),0.813590430860634
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.8131954957175289
"Choline, total (mg)",Vitamin B-6 (mg),0.8130695270885827
"Fatty acids, total saturated 16:0 (g)",Energy (kcal),0.8096156457662604
Energy (kJ),"Fatty acids, total saturated 16:0 (g)",0.8095887373373258
