Nutrient1,Nutrient2,Value
Energy (kJ),"Fatty acids, total saturated 18:1 undifferentiated (g)",0.7881268806199321
"Fatty acids, total saturated 18:1 undifferentiated (g)",Energy (kcal),0.7881226017522522
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",0.7869919086976778
Water (g),Protein (g),0.7855597780437196
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.7848031642419482
"Fatty acids, total trans-polyenoic 20:3 n-3 (g)","Fatty acids, total polyunsaturated 16:1 c (g)",0.7843989880371581
Water (g),"Potassium, K (mg)",0.7841660339226421
"Fatty acids, total saturated 10:0 (g)","Fatty acids, total saturated 6:0 (g)",0.7824623172165521
"Fatty acids, total trans-polyenoic 22:4 (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.7822368028966011
Vitamin D (IU),Vitamin D3 (cholecalciferol) (g),0.7818850384987164
"Fatty acids, total polyunsaturated 18:1 c (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.7814621709830156
Vitamin K (phylloquinone) (g),Lutein + zeaxanthin (g),0.7762266275023567
"Vitamin A, RAE (g)","Vitamin A, IU (IU)",0.7718302918296751
"Fatty acids, total polyunsaturated (g)",Total lipid (fat) (g),0.7687163092317779
Niacin (mg),Pantothenic acid (mg),0.7683569034243619
"Selenium, Se (g)","Zinc, Zn (mg)",0.7683561605104432
"Magnesium, Mg (mg)",Protein (g),0.7666755934868935
"Fatty acids, total trans-polyenoic 20:3 n-3 (g)","Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",0.7657829689215943
Energy (kcal),"Fatty acids, total saturated 18:0 (g)",0.7657114960540158
Energy (kJ),"Fatty acids, total saturated 18:0 (g)",0.7657113159664908
Pantothenic acid (mg),"Iron, Fe (mg)",0.763722841399066
"Sugars, total (g)","Carbohydrate, by difference (g)",0.7627605880784479
"Iron, Fe (mg)",Riboflavin (mg),0.7621763173202444
Pantothenic acid (mg),"Phosphorus, P (mg)",0.7619940445728086
"Selenium, Se (g)",Vitamin B-6 (mg),0.7576974033099045
"Folate, total (g)","Fiber, total dietary (g)",0.7566013110560955
Serine (g),"Phosphorus, P (mg)",0.754500805473811
"Fiber, total dietary (g)","Folate, food (g)",0.7542157342951011
Vitamin B-12 (g),Riboflavin (mg),0.7538291336865347
Vitamin B-12 (g),Retinol (g),0.7538163511827578
"Fiber, total dietary (g)","Folate, DFE (g)",0.7508484336021946
Phenylalanine (g),"Phosphorus, P (mg)",0.7489856403659405
"Choline, total (mg)",Niacin (mg),0.7449261419407442
"Fatty acids, total saturated 18:2 undifferentiated (g)",Total lipid (fat) (g),0.7448869106072752
"Fatty acids, total polyunsaturated 18:2 t,t (g)",Campesterol (mg),0.7437322976591678
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",0.7429042755089452
Glutamic acid (g),"Phosphorus, P (mg)",0.7427024681581423
Energy (kJ),"Fatty acids, total saturated (g)",0.7424979192270723
Energy (kcal),"Fatty acids, total saturated (g)",0.7424875780129665
"Fatty acids, total saturated 16:1 undifferentiated (g)","Fatty acids, total saturated 18:0 (g)",0.7414184753801281
"Phosphorus, P (mg)",Valine (g),0.7400889998651948
Leucine (g),"Phosphorus, P (mg)",0.7400691491614383
"Vitamin A, RAE (g)",Vitamin B-12 (g),0.7394866386430228
"Phosphorus, P (mg)",Arginine (g),0.7369013374169874
Maltose (g),Starch (g),0.7368915178493171
"Phosphorus, P (mg)",Tyrosine (g),0.7361218737539811
Riboflavin (mg),"Phosphorus, P (mg)",0.736073236520448
Energy (kcal),"Phosphorus, P (mg)",0.7358572113963884
Energy (kJ),"Phosphorus, P (mg)",0.7356057240385614
"Choline, total (mg)","Potassium, K (mg)",0.7349183853057201
Energy (kJ),Proline (g),0.7343923660785449
"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)",0.7343818613141094
Energy (kcal),Proline (g),0.7343077212689245
Aspartic acid (g),"Phosphorus, P (mg)",0.7315036665668245
Niacin (mg),Tryptophan (g),0.7311764519943391
"Magnesium, Mg (mg)",Serine (g),0.7308752870208598
"Phosphorus, P (mg)",Threonine (g),0.730618780871226
Beta-sitosterol (mg),Campesterol (mg),0.729566949596848
Tryptophan (g),"Phosphorus, P (mg)",0.7289752257735503
Isoleucine (g),"Phosphorus, P (mg)",0.7277421238506184
Phenylalanine (g),"Magnesium, Mg (mg)",0.727594096936283
"Selenium, Se (g)","Potassium, K (mg)",0.7275063790978564
"Phosphorus, P (mg)",Cystine (g),0.7269388734577983
Niacin (mg),Isoleucine (g),0.7268828425026936
"Selenium, Se (g)","Choline, total (mg)",0.7264264540326071
"Magnesium, Mg (mg)","Fiber, total dietary (g)",0.7261492844924434
"Choline, total (mg)","Iron, Fe (mg)",0.7257237516481725
Cystine (g),Niacin (mg),0.7253915401432023
"Iron, Fe (mg)",Vitamin B-6 (mg),0.7252810509225707
"Potassium, K (mg)",Niacin (mg),0.7249557019051467
"Fatty acids, total saturated (g)","Fatty acids, total saturated 18:1 undifferentiated (g)",0.7247207908324401
Proline (g),"Phosphorus, P (mg)",0.7240822427148349
Niacin (mg),Alanine (g),0.7213587026504402
Glutamic acid (g),Energy (kJ),0.7207724362349239
Glutamic acid (g),Energy (kcal),0.7206830924158386
Cystine (g),"Selenium, Se (g)",0.7194355038808419
Glutamic acid (g),"Magnesium, Mg (mg)",0.7191706849418198
Glutamic acid (g),"Selenium, Se (g)",0.7191255990761048
"Fatty acids, total saturated 6:0 (g)","Fatty acids, total saturated 14:0 (g)",0.7184147766678552
Niacin (mg),Methionine (g),0.7181413011807115
"Fatty acids, total saturated 16:0 (g)",Glycine (g),0.7172092392857689
"Choline, total (mg)",Pantothenic acid (mg),0.7171017190452142
Protein (g),Threonine (g),0.7168073158380146
Protein (g),Leucine (g),0.716569651601195
Proline (g),"Selenium, Se (g)",0.7165033204162098
"Fatty acids, total polyunsaturated 22:1 c (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.7164823203072826
Niacin (mg),Valine (g),0.7159124733251607
Valine (g),Protein (g),0.7153809734176703
"Phosphorus, P (mg)",Alanine (g),0.7151117446168922
"Fatty acids, total trans-polyenoic 20:3 n-3 (g)","Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",0.7148081614640858
"Fatty acids, total saturated 10:0 (g)","Fatty acids, total saturated (g)",0.7143758540307681
Protein (g),Phenylalanine (g),0.7142404293400921
Protein (g),Isoleucine (g),0.7141434192616765
Serine (g),"Potassium, K (mg)",0.7136428324722683
Niacin (mg),Glycine (g),0.7134581223121826
Protein (g),Serine (g),0.712788386909239
Lysine (g),"Phosphorus, P (mg)",0.7125989083448807
Energy (kJ),Serine (g),0.7124398508637727
Arginine (g),"Magnesium, Mg (mg)",0.7124127553874727
Serine (g),Energy (kcal),0.7123673386567378
Protein (g),Alanine (g),0.7116853227827374
Riboflavin (mg),"Selenium, Se (g)",0.7115000543425791
Tyrosine (g),Protein (g),0.7112904712350947
"Fatty acids, total saturated 18:2 undifferentiated (g)","Fatty acids, total saturated 18:1 undifferentiated (g)",0.7108353619643651
"Phosphorus, P (mg)",Histidine (g),0.7107598416578252
"Fatty acids, total saturated 16:1 undifferentiated (g)","Fatty acids, total polyunsaturated 16:1 c (g)",0.7102304752140908
Pantothenic acid (mg),Protein (g),0.7099395448826432
"Selenium, Se (g)",Tryptophan (g),0.7096544067137581
Niacin (mg),Threonine (g),0.7094990747546555
Energy (kJ),Cystine (g),0.7093335413209149
Energy (kcal),Cystine (g),0.7092293131052759
"Phosphorus, P (mg)",Methionine (g),0.709168752724535
"Zinc, Zn (mg)","Choline, total (mg)",0.7090655338280121
Phenylalanine (g),"Potassium, K (mg)",0.7089967483146296
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Fatty acids, total polyunsaturated 16:1 t (g)",0.7088160501274551
Lysine (g),Protein (g),0.7086203566389443
"Magnesium, Mg (mg)",Energy (kcal),0.7086022274275545
Energy (kJ),"Magnesium, Mg (mg)",0.7084764791979724
"Magnesium, Mg (mg)",Cystine (g),0.708189864369345
"Fatty acids, total polyunsaturated 18:1 c (g)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.7080682615055952
Histidine (g),Protein (g),0.7079481328749976
"Magnesium, Mg (mg)",Aspartic acid (g),0.7079406326646651
Lysine (g),Niacin (mg),0.7074271923543134
Pantothenic acid (mg),"Potassium, K (mg)",0.7073761489658311
"Fatty acids, total saturated 16:1 undifferentiated (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.7071345479615564
Glutamic acid (g),Protein (g),0.7068776902822649
Arginine (g),Protein (g),0.7066171868612802
Phenylalanine (g),Pantothenic acid (mg),0.7063550520262789
"Potassium, K (mg)",Aspartic acid (g),0.7061579858148513
Methionine (g),Protein (g),0.7052437185212463
Tyrosine (g),Niacin (mg),0.7051590235320643
Aspartic acid (g),Protein (g),0.7048615307039804
Thiamin (mg),"Potassium, K (mg)",0.7035421741415223
Energy (kJ),Phenylalanine (g),0.7031150839808544
Energy (kcal),Phenylalanine (g),0.7030319650123403
Pantothenic acid (mg),Cystine (g),0.7015654318011864
"Fatty acids, total saturated 18:2 undifferentiated (g)","Fatty acids, total monounsaturated (g)",0.7013693524632243
Valine (g),"Selenium, Se (g)",0.7008469938380733
"Fatty acids, total trans-polyenoic 22:4 (g)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.700522877442554
Leucine (g),Niacin (mg),0.7001231751905413
Water (g),"Selenium, Se (g)",0.69994799421529
Glycine (g),Energy (kJ),0.699841606700141
Glycine (g),Energy (kcal),0.6997962893646226
"Magnesium, Mg (mg)",Vitamin B-6 (mg),0.6997658386809211
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",0.6995828181759512
Arginine (g),"Potassium, K (mg)",0.6995048157622769
"Potassium, K (mg)",Energy (kcal),0.6994772828947576
Energy (kJ),"Potassium, K (mg)",0.6991755215939667
Stigmasterol (mg),Beta-sitosterol (mg),0.6988492925717781
"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",0.6986207346234783
"Selenium, Se (g)",Leucine (g),0.698408795412795
Energy (kJ),Arginine (g),0.6980239828336727
Energy (kcal),Arginine (g),0.6979627868968038
Cystine (g),Protein (g),0.69791418326913
"Fatty acids, total polyunsaturated 16:1 t (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.6979000598214244
Protein (g),Tryptophan (g),0.6977157893109288
"Selenium, Se (g)",Pantothenic acid (mg),0.6974329449154026
"Phosphorus, P (mg)",Glycine (g),0.6971241051923444
"Selenium, Se (g)",Serine (g),0.6968513791660814
Vitamin B-12 (g),Pantothenic acid (mg),0.6960661683405295
"Selenium, Se (g)",Threonine (g),0.6958157930597318
"Selenium, Se (g)",Alanine (g),0.6957455235808782
"Selenium, Se (g)","Iron, Fe (mg)",0.6950337633972452
Valine (g),Pantothenic acid (mg),0.6946223975306947
"Carbohydrate, by difference (g)",Sucrose (g),0.694317808068802
Pantothenic acid (mg),Serine (g),0.69430425667907
Energy (kcal),Thiamin (mg),0.6935343419114248
Energy (kJ),Thiamin (mg),0.6935260987080191
Valine (g),Energy (kJ),0.6931417963547085
Energy (kcal),Valine (g),0.6930542045252904
"Zinc, Zn (mg)",Pantothenic acid (mg),0.6925566308688371
Niacin (mg),Phenylalanine (g),0.6923670907227572
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.6921627871479555
Energy (kcal),"Selenium, Se (g)",0.6919232794917058
Niacin (mg),Aspartic acid (g),0.6918808345928215
Glycine (g),Protein (g),0.6918623464262551
Energy (kJ),"Selenium, Se (g)",0.6917485180317271
"Selenium, Se (g)",Tyrosine (g),0.6916045006154085
"Vitamin A, IU (IU)","Carotene, beta (g)",0.6901317855617072
Niacin (mg),Histidine (g),0.6901246054985779
"Potassium, K (mg)",Glutamic acid (g),0.6898479943859966
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Fatty acids, total polyunsaturated 16:1 t (g)",0.6895798628156892
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.6890038363318102
"Fatty acids, total saturated 16:1 undifferentiated (g)","Fatty acids, total polyunsaturated 20:3 undifferentiated (g)",0.6886130721241507
Energy (kJ),Tryptophan (g),0.6883824864467321
Tryptophan (g),Energy (kcal),0.6882385821642063
Protein (g),Energy (kcal),0.6874969446873255
Energy (kJ),Protein (g),0.6871885474660681
"Selenium, Se (g)",Isoleucine (g),0.6870353380729209
"Zinc, Zn (mg)","Magnesium, Mg (mg)",0.6869003453911172
Leucine (g),Pantothenic acid (mg),0.6868047958160868
Phenylalanine (g),"Selenium, Se (g)",0.6866653491490331
"Zinc, Zn (mg)",Water (g),0.6863689094059229
Aspartic acid (g),Pantothenic acid (mg),0.6862206910371881
Protein (g),Riboflavin (mg),0.6862186956344357
Niacin (mg),Arginine (g),0.6860141036418591
Water (g),Vitamin B-6 (mg),0.685709815261346
"Selenium, Se (g)","Magnesium, Mg (mg)",0.6856643183399685
"Selenium, Se (g)",Methionine (g),0.6855822499074193
Pantothenic acid (mg),Tryptophan (g),0.6852428491455734
Proline (g),Protein (g),0.6851901899597717
Tyrosine (g),Pantothenic acid (mg),0.6851795292740239
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.6851378803911824
Pantothenic acid (mg),Arginine (g),0.6849101245783642
"Magnesium, Mg (mg)",Thiamin (mg),0.6846756100943735
Niacin (mg),Betaine (mg),0.6841200509951866
"Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated 18:1 undifferentiated (g)",0.6835226845858501
Leucine (g),Energy (kJ),0.6832028251084115
Leucine (g),Energy (kcal),0.6831256405341994
Tryptophan (g),"Magnesium, Mg (mg)",0.6829762870064526
Niacin (mg),Water (g),0.6826641246946531
"Fatty acids, total polyunsaturated 18:1 c (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.6823543374801411
Glutamic acid (g),Niacin (mg),0.6822152594129474
"Fatty acids, total saturated 6:0 (g)","Fatty acids, total saturated 4:0 (g)",0.6820772863655361
"Phosphorus, P (mg)",Thiamin (mg),0.6815605389668412
Isoleucine (g),Pantothenic acid (mg),0.6814111710093823
"Fatty acids, total polyunsaturated 18:2 t not further defined (g)","Fatty acids, total polyunsaturated 15:0 (g)",0.680767080228669
"Magnesium, Mg (mg)",Leucine (g),0.68042707030727
Leucine (g),"Potassium, K (mg)",0.6802848480154025
Vitamin B-6 (mg),Betaine (mg),0.6797686532508733
Valine (g),"Magnesium, Mg (mg)",0.6793367040325972
"Fatty acids, total polyunsaturated 15:0 (g)","Fatty acids, total trans-polyenoic (g)",0.6792674276133909
Alanine (g),Energy (kJ),0.6789705083271692
Energy (kcal),Alanine (g),0.6789092379510753
Energy (kJ),Tyrosine (g),0.6787065992454577
Tyrosine (g),Energy (kcal),0.6786255251143034
"Potassium, K (mg)",Threonine (g),0.6780952970377494
"Potassium, K (mg)",Valine (g),0.6779668138295712
Serine (g),Thiamin (mg),0.6778723250170958
"Fatty acids, total saturated 20:4 undifferentiated (g)",Cholesterol (mg),0.6757833288884836
"Selenium, Se (g)",Glycine (g),0.6755778602051492
Threonine (g),Pantothenic acid (mg),0.6754179224807529
Proline (g),"Magnesium, Mg (mg)",0.6754090921868227
Threonine (g),Energy (kJ),0.6746201055596452
Energy (kcal),Threonine (g),0.6745433199010465
Niacin (mg),"Iron, Fe (mg)",0.6744780718819777
"Fatty acids, total polyunsaturated 16:1 t (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.6729791626079361
Pantothenic acid (mg),Glutamic acid (g),0.672864955494449
Aspartic acid (g),"Selenium, Se (g)",0.6726021306152933
"Selenium, Se (g)",Lysine (g),0.6724281403466685
Energy (kJ),Aspartic acid (g),0.6722923450471249
Energy (kcal),Aspartic acid (g),0.672226003653257
Niacin (mg),Serine (g),0.6721533885566661
"Choline, total (mg)",Water (g),0.6713670207534136
"Potassium, K (mg)",Cystine (g),0.6710910467202975
Water (g),"Iron, Fe (mg)",0.6707545483351017
Proline (g),"Fatty acids, total saturated 16:0 (g)",0.6695558676566874
"Magnesium, Mg (mg)",Threonine (g),0.6690349137857126
Isoleucine (g),Energy (kJ),0.6686862984656252
Energy (kcal),Isoleucine (g),0.6685885809379881
"Fatty acids, total saturated 18:0 (g)",Glycine (g),0.6674223839934361
"Fatty acids, total saturated 20:4 undifferentiated (g)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.6671858408958384
"Magnesium, Mg (mg)",Isoleucine (g),0.6670146805982636
"Potassium, K (mg)",Isoleucine (g),0.6666100693963445
Phenylalanine (g),"Iron, Fe (mg)",0.6663706924314117
"Manganese, Mn (mg)","Fiber, total dietary (g)",0.6657176002774765
"Fatty acids, total saturated 8:0 (g)","Fatty acids, total saturated (g)",0.6656245820795119
"Fatty acids, total polyunsaturated 16:1 t (g)","Fatty acids, total polyunsaturated 16:1 c (g)",0.66557709309522
Glycine (g),"Fatty acids, total saturated 16:1 undifferentiated (g)",0.6655544100723462
Alanine (g),"Fatty acids, total saturated 16:0 (g)",0.6654842638504371
Serine (g),Riboflavin (mg),0.6653120347461022
"Fatty acids, total polyunsaturated (g)",Energy (kJ),0.6650729058937127
"Fatty acids, total polyunsaturated (g)",Energy (kcal),0.6650261729230805
"Magnesium, Mg (mg)",Pantothenic acid (mg),0.664315468357101
"Iron, Fe (mg)","Folate, DFE (g)",0.66421740354995
Pantothenic acid (mg),Alanine (g),0.664201365983873
Histidine (g),"Potassium, K (mg)",0.6641089668632181
"Magnesium, Mg (mg)",Water (g),0.6640026818246951
"Iron, Fe (mg)",Serine (g),0.6637963281825241
Histidine (g),Energy (kJ),0.6633572190562262
Histidine (g),Energy (kcal),0.6633023380035757
"Fatty acids, total saturated 16:1 undifferentiated (g)",Energy (kcal),0.6628939404432656
"Potassium, K (mg)",Tryptophan (g),0.6628584132625588
Arginine (g),"Selenium, Se (g)",0.6628338622732716
"Fatty acids, total saturated 16:1 undifferentiated (g)",Energy (kJ),0.6628163804272423
"Folate, total (g)","Iron, Fe (mg)",0.6626224506841725
"Magnesium, Mg (mg)","Choline, total (mg)",0.6620664333196457
Niacin (mg),Proline (g),0.6616248366148161
"Selenium, Se (g)",Histidine (g),0.6613959917665692
"Fatty acids, total saturated 18:0 (g)",Alanine (g),0.6613754228966942
Thiamin (mg),Phenylalanine (g),0.6610499877361369
"Fatty acids, total polyunsaturated 16:1 t (g)","Fatty acids, total trans-polyenoic 22:4 (g)",0.6604222970673715
"Magnesium, Mg (mg)",Tyrosine (g),0.6603915893367787
"Fatty acids, total polyunsaturated 15:0 (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.6601617647992807
"Fatty acids, total polyunsaturated 15:0 (g)","Fatty acids, total trans (g)",0.6599717476711074
Energy (kJ),"Fatty acids, total saturated 18:2 undifferentiated (g)",0.659724326402273
"Fatty acids, total saturated 18:2 undifferentiated (g)",Energy (kcal),0.6597020956399877
Thiamin (mg),"Iron, Fe (mg)",0.6595084536270683
"Fatty acids, total saturated (g)","Fatty acids, total saturated 12:0 (g)",0.6593847934538054
Tyrosine (g),"Potassium, K (mg)",0.6591515517084695
"Fatty acids, total polyunsaturated 18:2 CLAs (g)","Fatty acids, total saturated 14:1 (g)",0.6586004680891819
"Fatty acids, total trans-monoenoic (g)","Fatty acids, total polyunsaturated 15:0 (g)",0.6578597922317792
Tyrosine (g),Riboflavin (mg),0.6578364725218502
"Fatty acids, total polyunsaturated 18:1 c (g)","Fatty acids, total trans-polyenoic (g)",0.6577875436257943
Vitamin B-12 (g),"Copper, Cu (mg)",0.6575913266826648
